"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"        Estimate","","10,889","","5,715","813","141","1,666","0","1,811","743","4,342","3,809","","1,211","4,219","3,182","2,277","","7,175","3,215","3,960","3,914","1,700","2,030","1,188","1,231","327","","2,847","1,631","1,127","809","372","389","","963","2,975","2,525","712","","3,714","1,983","1,345","638","1,731","1,262","469"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,889","","52.5%","7.5%","1.3%","15.3%","0.0%","16.6%","6.8%","39.9%","35.0%","","11.1%","38.7%","29.2%","20.9%","","7,175","44.8%","55.2%","54.6%","23.7%","28.3%","16.6%","17.2%","4.6%","","39.7%","22.7%","15.7%","11.3%","5.2%","5.4%","","13.4%","41.5%","35.2%","9.9%","","3,714","53.4%","36.2%","17.2%","46.6%","34.0%","12.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51,340","","51,787","47,467","16,513","57,955","-","49,139","72,975","48,859","54,115","","-","63,767","49,388","45,224","","58,160","49,684","63,741","70,280","73,889","36,303","22,536","51,861","34,970","","50,824","49,368","64,107","55,344","138,575","98,613","","21,404","43,266","80,972","99,273","","38,320","24,970","22,347","36,979","42,169","28,088","63,958"
"ZCTA5 95350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","19,488","","14,994","848","277","1,294","190","1,068","817","4,913","11,571","","718","6,401","7,231","5,138","","12,835","5,639","7,196","8,495","3,476","3,045","1,682","1,295","481","","5,248","2,975","2,764","996","506","346","","2,163","5,032","4,189","1,451","","6,653","3,934","3,291","643","2,719","2,042","677"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","19,488","","76.9%","4.4%","1.4%","6.6%","1.0%","5.5%","4.2%","25.2%","59.4%","","3.7%","32.8%","37.1%","26.4%","","12,835","43.9%","56.1%","66.2%","27.1%","23.7%","13.1%","10.1%","3.7%","","40.9%","23.2%","21.5%","7.8%","3.9%","2.7%","","16.9%","39.2%","32.6%","11.3%","","6,653","59.1%","49.5%","9.7%","40.9%","30.7%","10.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","57,291","","60,708","35,833","44,904","41,447","64,208","65,956","83,229","54,204","63,005","","43,500","60,271","68,252","46,199","","64,073","57,354","68,841","70,728","66,875","45,473","37,632","66,250","62,531","","61,095","57,649","73,620","76,356","59,257","64,946","","35,283","51,550","82,079","124,809","","37,134","30,773","27,333","59,044","51,579","39,877","81,849"
"ZCTA5 95351","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,441","","8,870","452","64","808","49","1,646","1,552","8,488","3,374","","659","5,059","5,105","2,618","","10,810","5,724","5,086","5,876","3,098","3,231","1,757","1,703","869","","3,035","2,503","2,297","1,540","760","675","","1,499","4,376","3,206","1,729","","2,631","1,366","1,096","270","1,265","1,008","257"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,441","","66.0%","3.4%","0.5%","6.0%","0.4%","12.2%","11.5%","63.2%","25.1%","","4.9%","37.6%","38.0%","19.5%","","10,810","53.0%","47.0%","54.4%","28.7%","29.9%","16.3%","15.8%","8.0%","","28.1%","23.2%","21.2%","14.2%","7.0%","6.2%","","13.9%","40.5%","29.7%","16.0%","","2,631","51.9%","41.7%","10.3%","48.1%","38.3%","9.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,517","","43,611","41,274","51,250","45,096","69,602","47,266","41,250","45,500","41,163","","30,352","44,300","54,445","35,313","","48,170","41,875","58,264","60,399","54,049","29,482","22,135","47,994","43,712","","34,394","53,125","43,807","49,740","45,625","92,669","","22,298","39,381","59,146","92,804","","21,509","17,388","16,603","28,828","37,770","30,880","46,181"
"ZCTA5 95354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,701","","6,363","514","54","336","65","532","837","3,000","4,480","","223","3,376","2,946","2,156","","5,673","2,601","3,072","3,495","1,487","1,384","743","794","371","","2,408","1,204","1,125","440","352","144","","1,082","2,189","1,822","580","","3,028","1,714","1,326","388","1,314","1,044","270"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,701","","73.1%","5.9%","0.6%","3.9%","0.7%","6.1%","9.6%","34.5%","51.5%","","2.6%","38.8%","33.9%","24.8%","","5,673","45.8%","54.2%","61.6%","26.2%","24.4%","13.1%","14.0%","6.5%","","42.4%","21.2%","19.8%","7.8%","6.2%","2.5%","","19.1%","38.6%","32.1%","10.2%","","3,028","56.6%","43.8%","12.8%","43.4%","34.5%","8.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,352","","52,702","85,990","-","63,041","48,352","41,625","47,098","46,613","56,250","","31,150","58,668","63,850","37,847","","60,904","62,064","60,429","66,914","73,149","33,500","29,492","59,167","56,993","","48,026","56,333","84,315","56,071","64,490","58,125","","24,479","55,250","81,295","96,037","","39,118","37,537","31,554","50,870","41,475","35,192","75,417"
"ZCTA5 95355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","20,828","","15,662","1,211","302","1,570","134","994","955","5,476","11,834","","452","6,837","7,822","5,717","","14,841","6,395","8,446","10,944","4,538","2,848","1,397","1,049","460","","6,152","3,853","2,444","1,576","462","354","","2,347","5,053","5,536","1,905","","5,987","3,654","3,270","384","2,333","1,864","469"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","20,828","","75.2%","5.8%","1.4%","7.5%","0.6%","4.8%","4.6%","26.3%","56.8%","","2.2%","32.8%","37.6%","27.4%","","14,841","43.1%","56.9%","73.7%","30.6%","19.2%","9.4%","7.1%","3.1%","","41.5%","26.0%","16.5%","10.6%","3.1%","2.4%","","15.8%","34.0%","37.3%","12.8%","","5,987","61.0%","54.6%","6.4%","39.0%","31.1%","7.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","67,205","","66,008","71,835","56,089","96,786","80,917","72,398","51,189","70,459","65,595","","44,605","81,593","80,230","46,272","","79,471","81,218","76,278","95,883","103,929","47,317","46,370","75,938","56,016","","65,169","73,856","89,323","104,909","150,943","111,310","","41,461","57,453","108,844","150,618","","41,202","38,848","37,500","50,726","48,083","39,767","79,464"
"ZCTA5 95356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,951","","8,240","199","145","947","167","606","647","2,475","6,732","","149","3,694","4,211","2,897","","7,906","3,574","4,332","5,743","2,561","1,672","690","491","323","","3,114","1,770","1,579","882","238","323","","946","2,775","3,168","1,017","","3,045","1,493","1,184","309","1,552","1,131","421"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,951","","75.2%","1.8%","1.3%","8.6%","1.5%","5.5%","5.9%","22.6%","61.5%","","1.4%","33.7%","38.5%","26.5%","","7,906","45.2%","54.8%","72.6%","32.4%","21.1%","8.7%","6.2%","4.1%","","39.4%","22.4%","20.0%","11.2%","3.0%","4.1%","","12.0%","35.1%","40.1%","12.9%","","3,045","49.0%","38.9%","10.1%","51.0%","37.1%","13.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","76,225","","75,598","38,185","27,782","88,661","48,940","87,273","110,265","66,696","81,748","","130,237","76,111","100,058","54,980","","88,707","93,297","87,568","105,321","112,006","50,755","39,079","67,583","53,578","","77,321","76,857","108,813","101,667","120,278","114,972","","48,707","61,507","110,033","155,881","","48,567","38,202","35,342","97,656","51,742","50,848","-"
"ZCTA5 95357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,073","","2,995","150","110","164","116","342","196","1,371","2,184","","61","1,370","1,742","900","","3,331","1,453","1,878","2,595","1,065","474","311","262","77","","1,236","807","616","424","201","47","","314","865","1,428","724","","742","406","312","94","336","301","35"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,073","","73.5%","3.7%","2.7%","4.0%","2.8%","8.4%","4.8%","33.7%","53.6%","","1.5%","33.6%","42.8%","22.1%","","3,331","43.6%","56.4%","77.9%","32.0%","14.2%","9.3%","7.9%","2.3%","","37.1%","24.2%","18.5%","12.7%","6.0%","1.4%","","9.4%","26.0%","42.9%","21.7%","","742","54.7%","42.0%","12.7%","45.3%","40.6%","4.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","82,886","","84,382","105,753","-","57,386","95,303","-","56,985","62,426","94,091","","-","94,276","96,951","48,942","","97,957","86,620","105,839","107,936","111,391","48,929","47,893","62,311","-","","72,969","105,257","80,735","120,907","94,375","185,721","","31,944","61,327","115,703","113,256","","45,000","37,857","33,448","110,240","47,273","46,705","95,481"
"ZCTA5 95358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,479","","6,422","182","35","289","22","751","778","4,523","3,403","","270","3,243","3,155","1,811","","7,185","3,721","3,464","5,234","2,829","1,350","613","601","279","","1,909","1,346","1,409","1,439","566","516","","709","2,696","2,617","1,163","","1,294","641","500","141","653","472","181"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,479","","75.7%","2.1%","0.4%","3.4%","0.3%","8.9%","9.2%","53.3%","40.1%","","3.2%","38.2%","37.2%","21.4%","","7,185","51.8%","48.2%","72.8%","39.4%","18.8%","8.5%","8.4%","3.9%","","26.6%","18.7%","19.6%","20.0%","7.9%","7.2%","","9.9%","37.5%","36.4%","16.2%","","1,294","49.5%","38.6%","10.9%","50.5%","36.5%","14.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","62,244","","64,756","77,330","40,625","-","-","44,877","36,600","49,832","74,542","","65,000","50,378","74,879","57,277","","63,080","55,250","65,923","69,194","66,951","34,534","22,168","56,417","26,406","","54,289","48,200","72,565","66,274","44,741","86,415","","25,137","44,505","75,929","91,588","","50,779","39,336","34,405","61,681","57,188","50,750","76,250"
"ZCTA5 95360","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,121","","3,500","44","16","116","0","404","41","2,135","1,829","","45","1,556","1,638","882","","3,425","1,482","1,943","2,673","1,107","436","146","316","229","","1,032","929","677","478","176","133","","424","1,211","1,080","710","","696","354","339","15","342","305","37"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,121","","84.9%","1.1%","0.4%","2.8%","0.0%","9.8%","1.0%","51.8%","44.4%","","1.1%","37.8%","39.7%","21.4%","","3,425","43.3%","56.7%","78.0%","32.3%","12.7%","4.3%","9.2%","6.7%","","30.1%","27.1%","19.8%","14.0%","5.1%","3.9%","","12.4%","35.4%","31.5%","20.7%","","696","50.9%","48.7%","2.2%","49.1%","43.8%","5.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","64,036","","66,895","-","-","22,596","-","60,163","-","57,339","93,192","","-","75,197","61,796","53,036","","66,603","67,434","66,235","87,098","92,946","25,000","-","61,221","-","","47,731","74,844","116,417","66,763","-","54,495","","29,963","51,319","93,790","111,121","","39,662","-","30,391","-","44,231","44,375","-"
"ZCTA5 95361","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,420","","10,608","70","60","225","0","607","850","2,745","8,956","","217","3,763","5,157","3,283","","9,002","3,607","5,395","6,812","2,762","1,348","678","842","167","","3,883","2,052","1,558","1,035","317","157","","1,102","3,002","3,813","1,085","","3,418","1,864","1,569","295","1,554","1,378","176"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,420","","85.4%","0.6%","0.5%","1.8%","0.0%","4.9%","6.8%","22.1%","72.1%","","1.7%","30.3%","41.5%","26.4%","","9,002","40.1%","59.9%","75.7%","30.7%","15.0%","7.5%","9.4%","1.9%","","43.1%","22.8%","17.3%","11.5%","3.5%","1.7%","","12.2%","33.3%","42.4%","12.1%","","3,418","54.5%","45.9%","8.6%","45.5%","40.3%","5.1%"
